id|run|machine|start_time|end_time|data_block|wal_block|wal_segment|scale|mode|tps|time|wal_bytes|cpu_total_time|cpu_user_time|cpu_nice_time|cpu_system_time|cpu_iowait_time|cpu_steal_time|cpu_idle_time|dev_tps|dev_kbps|dev_rkbps|dev_wkbps|dev_dkbps|dev_areqsz|dev_aqusz|dev_await|dev_util|io_tps|io_rtps|io_wtps|io_dtps|io_bps|io_breadps|io_bwrtpns|io_bdscdps|mem_kbmemfree|mem_kbavail|mem_kbmemused|mem_memused_pct|mem_kbbuffers|mem_kbcached|mem_kbcommit|mem_commit_pct|mem_kbactive|mem_kbinact|mem_kbdirty|wal_diff|seconds|checkpoints_all|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_all|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|xact_commit|xact_rollback|blks_read|blks_hit|blks_hit_ratio|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|cpu_count|dev_count|io_count|mem_count|bgw_count|db_count
1|20220414-no-fpw|i5|1648831532|1648832432|8|8|16|50|ro|126325.98|900.0532|6456|100|76|0|24|0|0|0|2|302|0|302|0|33|0|1|0|5|0|5|0|1543|0|1543|0|2399011|6825621|212080|3|308|5275723|1217164|15|1207752|4143301|128|6456|900.093722820282|1|1|0|215019|8|33014|2147|0|0|30867|0|93984|113698263|0|93941|455072564|99.9793611790480936|113952165|113874332|0|0|0|0|0|0|0|||0|0|14426095.524999999|1261766.503|0|1678|0|0|0|180|180|180|180|825|825
2|20220414-no-fpw|i5|1648832492|1648833392|8|8|16|50|ro|126710.27|900.0464|0|100|76|0|24|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|7|0|7|0|2398738|6827356|210422|3|308|5277747|1216832|15|1983013|3369864|101|0|899.2439589500427|2|2|0|0|0|0|0|0|0|0|0|0|113932486|0|0|456094300|100.0000000000000000|114125821|114105185|0|0|0|0|0|0|0|||0|0|14412420.198|1252032.36|0|1664|0|0|0|180|180|180|180|824|824
3|20220414-no-fpw|i5|1648833452|1648834354|8|8|16|50|ro|125444.89|901.79254|0|100|76|0|24|0|0|0|0|0|0|0|0|1|0|0|0|1|0|1|0|89|0|89|0|2376252|6825536|212280|3|308|5298391|1217093|15|1983013|3390650|705|0|899.9244310855865|1|1|0|0|0|0|0|0|0|0|0|0|112856524|0|0|451790452|100.0000000000000000|113049859|113029223|0|0|0|0|0|0|0|||0|0|14420429.635000002|1257509.9249999998|0|1664|0|0|0|180|180|180|180|824|824
4|20220414-no-fpw|i5|1648834414|1648836214|8|8|16|50|rw|20835.719|1800.0444|9749742448|84|56|0|28|3|0|13|3843|39158|103|39055|0|10|0|0|100|26690|16|26674|0|83673|208|83465|0|350539|6552365|222300|3|308|7302857|1219025|15|2555238|4824186|19644|9746200888|1799.3394830226898|2|2|0|1079322|40|656482|185433|227946|1685|243103|0|246903|37493207|0|530868|417747882|99.8730827229449261|75710544|75363343|37485896|37486114|0|0|0|0|0|||0|0|28813380.093999997|18138577.593000002|7376231.743|3540|0|0|0|360|360|360|360|1762|1762
5|20220414-no-fpw|i5|1648836274|1648838074|8|8|16|50|rw|20782.209|1800.0569|9650337208|83|56|0|27|3|0|13|3854|38394|319|38075|0|10|1|0|100|26614|43|26571|0|79966|643|79323|0|66611|6533833|222708|3|308|7577317|1218821|15|3092143|4561813|30511|9649675608|1799.8674309253693|3|3|0|1619284|73|917199|270639|267263|2058|379297|0|239904|37402697|0|541960|414724337|99.8694909738846444|75255896|75178039|37395417|37395569|0|0|0|0|0|||0|0|28818167.821999997|18161824.135999996|7364490.033000001|3540|0|0|0|360|360|360|360|1762|1762
6|20220414-no-fpw|i5|1648838134|1648839935|8|8|16|50|rw|20709.904|1800.7087|9603197336|84|56|0|28|3|0|13|3842|38375|371|38004|0|10|1|0|100|26557|40|26518|0|80433|1154|79279|0|76431|6533435|222736|3|254|7562841|1218992|15|3236363|4403188|28579|9602379936|1799.8412380218506|3|3|0|1619267|31|930160|267694|250064|2105|412402|0|238977|37274596|0|523322|413176709|99.8735020641078946|74987659|74921102|37267323|37267463|0|0|0|0|0|||0|0|28819424.795|18111462.255000003|7394825.6280000005|3540|0|0|0|360|360|360|360|1762|1762
7|20220414-no-fpw|i5|1648840026|1648840926|8|8|16|250|ro|104754.9|900.05634|3448|99|71|0|28|0|0|1|52|1452|596|856|0|3|0|0|1|58|47|11|0|4627|1217|3410|0|188919|6530833|225571|3|144|7451026|1216509|15|4914862|2611096|560|3448|899.5465331077576|1|1|0|603|21|33452|6|468|3|32978|0|97915970|94195674|0|97893155|279257734|74.0440344023688620|94448425|94369159|0|0|0|0|0|0|0|||0|0|14415513.125|1633127.167|0|1653|0|0|0|181|181|181|181|815|815
8|20220414-no-fpw|i5|1648840986|1648841886|8|8|16|250|ro|105438.85|900.0508|0|99|71|0|28|0|0|1|0|0|0|0|0|1|0|0|0|1|0|1|0|7|0|7|0|185253|6528050|224245|3|144|7455922|1216221|15|4943560|2587192|98|0|898.8324880599976|2|2|0|0|0|0|0|0|0|0|0|98459472|94756939|0|98449881|280938290|74.0503556712104237|94948584|94927766|0|0|0|0|0|0|0|||0|0|14407607.184999999|1635802.542|0|1646|0|0|0|181|181|181|181|815|815
9|20220414-no-fpw|i5|1648841946|1648842848|8|8|16|250|ro|105005.914|901.56354|0|99|71|0|28|0|0|1|0|0|0|0|0|1|0|0|0|1|0|1|0|76|0|76|0|167241|6523519|224661|3|144|7473512|1216839|15|4943863|2604690|611|0|899.3405210971832|1|1|0|0|0|0|0|0|0|0|0|98104926|94420482|0|98086241|279956540|74.0541954694804766|94612337|94591517|0|0|0|0|0|0|0|||0|0|14415667.02|1583280.7689999999|0|1648|0|0|0|181|181|181|181|816|816
10|20220414-no-fpw|i5|1648842908|1648844708|8|8|16|250|rw|17648.064|1800.0688|8455013912|78|49|0|29|4|0|18|14940|153892|93|153799|0|10|18|1|100|34826|10|34815|0|312454|231|312223|0|68955|6531164|225114|3|122|7569187|1222547|15|5606061|2039800|429038|8453241344|1799.2937970161438|2|2|0|1078298|1178|28675229|1144|891106|8910|27782979|0|33408849|31766289|0|34935892|325383861|90.3041973943626676|65188861|63903657|31759028|31759154|0|0|0|0|0|||0|0|28813983.870999992|18977753.364|6935804.285|3538|0|0|0|360|360|360|360|1761|1761
