runs|run|machine|data_block|wal_block|wal_segment|scale|mode|tps|base_tps|tps_coeff|wal_diff|checkpoints_all|checkpoints_timed|checkpoints_req|buffers_all|buffers_checkpoint|buffers_clean|buffers_backend|buffers_alloc|cpu_total_time|dev_tps|dev_kbps|io_bps|io_tps
3|20220130-no-fpw|xeon|1|1|16|100|ro|509401|549307|1.0783390688278978|121|1|1|0|1028000|5657|0|1022343|86518|87|8|514|1250|10
3|20220130-no-fpw|xeon|1|2|16|100|ro|526707|549307|1.0429081064045096|159|1|1|0|994220|5468|0|988752|83670|86|7|492|1239|9
3|20220130-no-fpw|xeon|1|4|16|100|ro|522628|549307|1.0510477815960875|631|1|1|0|1001980|5511|0|996469|84327|85|7|496|1147|8
3|20220130-no-fpw|xeon|1|8|16|100|ro|528431|549307|1.0395056308202963|2872|1|1|0|990978|5451|0|985526|83398|84|7|488|1205|9
3|20220130-no-fpw|xeon|1|16|16|100|ro|524092|549307|1.0481117819008876|4399|1|1|0|999183|5496|0|993685|84091|86|6|366|897|8
3|20220130-no-fpw|xeon|1|32|16|100|ro|524344|549307|1.0476080588316068|1718|1|1|0|998704|5496|0|993208|84051|86|7|493|1145|9
3|20220130-no-fpw|xeon|1|64|16|100|ro|517163|549307|1.062154485142982|3362|1|1|0|1012569|5570|0|1006999|85219|86|7|498|1249|10
3|20220130-no-fpw|xeon|2|1|16|100|ro|525292|549307|1.0457174295439489|323|1|1|0|464913|2721|0|462192|39985|86|6|351|894|8
3|20220130-no-fpw|xeon|2|2|16|100|ro|525858|549307|1.0445918860224623|811|1|1|0|464413|2718|0|461695|39943|86|8|711|1614|11
3|20220130-no-fpw|xeon|2|4|16|100|ro|527369|549307|1.041598956328491|950|1|1|0|463083|2710|0|460372|39828|85|6|422|1007|8
3|20220130-no-fpw|xeon|2|8|16|100|ro|531201|549307|1.0340850261953574|957|1|1|0|459742|2691|0|457051|39538|84|8|655|1527|11
3|20220130-no-fpw|xeon|2|16|16|100|ro|521697|549307|1.0529234402344656|1915|1|1|0|468118|2740|0|465377|40262|85|6|431|1047|9
