run|machine|data_block|wal_block|wal_segment|scale|mode|runs|tps|base_tps|wal_bytes|cpu_total_time|cpu_user_time|cpu_nice_time|cpu_system_time|cpu_iowait_time|cpu_steal_time|cpu_idle_time|dev_tps|dev_kbps|dev_rkbps|dev_wkbps|dev_dkbps|dev_areqsz|dev_aqusz|dev_await|dev_util|io_tps|io_bps|io_rtps|io_wtps|io_dtps|io_breadps|io_bwrtpns|io_bdscdps|mem_kbmemfree|mem_kbavail|mem_kbmemused|mem_memused_pct|mem_kbbuffers|mem_kbcached|mem_kbcommit|mem_commit_pct|mem_kbactive|mem_kbinact|mem_kbdirty|wal_diff|seconds|checkpoints_all|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_all|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|xact_commit|xact_rollback|blks_read|blks_hit|blks_hit_ratio|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|cpu_count|dev_count|io_count|mem_count|bgw_count|db_count
20220130-no-fpw|xeon|1|1|16|100|ro|3|509401|549307|112|81|64|0|17|0|0|19|7|477|0|477|0|19|0|0|0|9|1159|0|9|0|4|1155|0|58049497|61754510|468276|1|37501|6674305|10062932|15|2832672|3942627|3104|112|900|1|1|0|269755|0|953318|5246|0|0|948072|0|80233|456573207|0|80196|2739907588|99.9970754906588105|456834004|456793617|0|0|0|0|0|0|0|||0|0|28803736|8239096|0|1786|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|1|2|16|100|ro|3|526707|549307|152|82|64|0|18|0|0|19|7|472|0|472|0|19|0|0|0|9|1188|0|9|0|1|1187|0|58052394|61749802|472324|1|43719|6664104|10063347|15|2840507|3931175|3126|152|899|1|1|0|269749|0|953315|5243|0|0|948072|0|80228|470097485|0|80196|2821053049|99.9971582590406066|470358197|470317811|0|0|0|0|0|0|0|||0|0|28792892|8243424|0|1785|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|1|4|16|100|ro|3|522628|549307|600|81|64|0|18|0|0|18|7|472|0|472|0|19|0|0|0|8|1091|0|8|0|1|1090|0|58063543|61751511|471226|1|47466|6651151|10063303|15|2843543|3918115|3152|600|900|1|1|0|269950|0|953315|5243|0|0|948072|0|80231|466943459|0|80196|2802129088|99.9971576038929752|467204251|467163865|0|0|0|0|0|0|0|||0|0|28803609|8198540|0|1786|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|1|8|16|100|ro|3|528431|549307|2763|81|64|0|17|0|0|19|7|469|0|469|0|19|0|0|0|9|1159|0|9|0|1|1158|0|58042124|61751214|471068|1|52009|6652208|10062861|15|2850032|3918328|3770|2763|900|1|1|0|269804|0|953317|5244|0|0|948072|0|80229|472348507|0|80196|2834559397|99.9971887696780074|472609308|472568921|0|0|0|0|0|0|0|||0|0|28803576|8244359|0|1786|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|1|16|16|100|ro|3|524092|549307|4197|82|64|0|18|0|0|18|6|349|0|349|0|19|0|0|0|8|856|0|8|0|1|855|0|57996400|61750016|472103|1|58218|6653422|10065965|15|2854387|3921745|3055|4197|900|1|1|0|269722|0|953317|5244|0|0|948072|0|80231|470740863|0|80196|2824913524|99.9971655168216052|471001660|470961273|0|0|0|0|0|0|0|||0|0|28803640|8309110|0|1786|0|0|0|180|180|180|180|876|876
20220130-no-fpw|xeon|1|32|16|100|ro|3|524344|549307|1640|82|64|0|18|0|0|18|7|471|0|471|0|19|0|0|0|9|1093|0|9|0|1|1092|0|58064445|61749363|472112|1|40315|6645061|10063189|15|2835197|3913254|3254|1640|900|1|1|0|269976|0|953318|5246|0|0|948072|0|80231|468842209|0|80196|2813521611|99.9971668687047183|469103011|469062624|0|0|0|0|0|0|0|||0|0|28803643|8256291|0|1786|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|1|64|16|100|ro|3|517163|549307|3165|81|64|0|17|0|0|18|7|469|0|469|0|19|0|0|0|9|1176|0|9|0|1|1175|0|58042823|61750966|472123|1|44013|6648363|10062887|15|2837298|3919965|4015|3165|900|1|1|0|269686|0|953316|5244|0|0|948072|0|80232|463563657|0|80196|2781850299|99.9971275341140348|463824459|463784072|0|0|0|0|0|0|0|||0|0|28803638|8354475|0|1786|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|2|1|16|100|ro|3|525292|549307|309|82|64|0|18|0|0|18|6|336|0|336|0|19|0|0|0|8|855|0|8|0|24|831|0|59030832|62531775|453873|1|58100|5697611|9326051|14|2762251|3057475|2373|309|900|1|1|0|269937|0|444588|2602|0|0|441986|0|38237|470908123|0|38213|2354974021|99.9983776771890840|471158394|471118600|0|0|0|0|0|0|0|||0|0|28797313|8097723|0|1787|0|0|0|180|180|180|180|876|876
20220130-no-fpw|xeon|2|2|16|100|ro|3|525858|549307|776|82|64|0|18|0|0|18|8|681|0|681|0|19|0|0|0|11|1545|0|11|0|1|1544|0|58947734|62537333|449148|1|44623|5677147|9325328|14|2744835|3041657|2932|776|899|1|1|0|269841|0|444588|2602|0|0|441986|0|38238|469367539|0|38213|2347270926|99.9983591946952526|469617730|469577937|0|0|0|0|0|0|0|||0|0|28787400|8082331|0|1786|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|2|4|16|100|ro|3|527369|549307|912|82|64|0|18|0|0|18|6|405|0|405|0|19|0|0|0|8|967|0|8|0|1|966|0|59066669|62532236|453504|1|36748|5670169|9327693|14|2737713|3034198|2383|912|900|1|1|0|269841|0|444589|2602|0|0|441986|0|38237|472585698|0|38213|2363361893|99.9983884490526140|472835968|472796174|0|0|0|0|0|0|0|||0|0|28797375|8056802|0|1787|0|0|0|180|180|180|180|876|876
20220130-no-fpw|xeon|2|8|16|100|ro|3|531201|549307|925|81|63|0|18|0|0|19|8|633|0|633|0|19|0|0|0|11|1477|0|10|0|4|1472|0|59034140|62532985|453015|1|53361|5681078|9326333|14|2757826|3041628|2889|925|899|1|1|0|269998|0|444588|2602|0|0|441986|0|38235|476363769|0|38213|2382252077|99.9984000674048959|476613960|476574167|0|0|0|0|0|0|0|||0|0|28787213|8097772|0|1786|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|2|16|16|100|ro|3|521697|549307|1819|81|64|0|18|0|0|18|6|409|0|409|0|18|0|0|0|9|994|0|9|0|4|990|0|59016235|62542911|443599|1|57057|5667543|9325514|14|2765198|3023657|2880|1819|900|1|1|0|269871|0|444589|2602|0|0|441986|0|38238|468694887|0|38213|2343907839|99.9983709305503953|468945157|468905364|0|0|0|0|0|0|0|||0|0|28797350|8135732|0|1787|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|2|32|16|100|ro|3|532556|549307|3000|81|63|0|18|0|0|19|8|643|0|643|0|19|0|0|0|10|1487|0|10|0|1|1486|0|59030474|62533135|453608|1|40872|5658168|9325187|14|2745000|3018565|3386|3000|900|1|1|0|269694|0|444587|2601|0|0|441986|0|38237|476286636|0|38213|2381866586|99.9984007070069777|476536907|476497113|0|0|0|0|0|0|0|||0|0|28797101|8051003|0|1787|0|0|0|181|181|181|181|876|876
20220130-no-fpw|xeon|2|64|16|100|ro|3|529617|549307|11963|82|64|0|18|0|0|19|8|598|0|598|0|19|0|0|0|10|1389|0|10|0|1|1388|0|59042775|62540195|445756|1|37947|5655378|9325197|14|2738922|3018631|3547|11963|900|1|1|0|269883|0|444588|2602|0|0|441986|0|38237|473942424|0|38213|2370145523|99.9983953191224478|474192694|474152900|0|0|0|0|0|0|0|||0|0|28797325|8050648|0|1787|0|0|0|181|181|181|181|876|876
