                  name                  |               setting                | unit |                             category                              |                                                               short_desc                                                                |                                                                                                                                                                                                                                 extra_desc                                                                                                                                                                                                                                  |      context      | vartype |        source        |   min_val   |   max_val    |                                    enumvals                                    |            boot_val            |              reset_val               |              sourcefile              | sourceline | pending_restart 
----------------------------------------+--------------------------------------+------+-------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------+---------+----------------------+-------------+--------------+--------------------------------------------------------------------------------+--------------------------------+--------------------------------------+--------------------------------------+------------+-----------------
 allow_system_table_mods                | off                                  |      | Developer Options                                                 | Allows modifications of the structure of system tables.                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | superuser         | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 application_name                       | psql                                 |      | Reporting and Logging / What to Log                               | Sets the application name to be reported in statistics and logs.                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | string  | client               |             |              |                                                                                |                                | psql                                 |                                      |            | f
 archive_cleanup_command                |                                      |      | Write-Ahead Log / Archive Recovery                                | Sets the shell command that will be executed at every restart point.                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 archive_command                        | (disabled)                           |      | Write-Ahead Log / Archiving                                       | Sets the shell command that will be called to archive a WAL file.                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 archive_mode                           | off                                  |      | Write-Ahead Log / Archiving                                       | Allows archiving of WAL files using archive_command.                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | enum    | default              |             |              | {always,on,off}                                                                | off                            | off                                  |                                      |            | f
 archive_timeout                        | 0                                    | s    | Write-Ahead Log / Archiving                                       | Sets the amount of time to wait before forcing a switch to the next WAL file.                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 1073741823   |                                                                                | 0                              | 0                                    |                                      |            | f
 array_nulls                            | on                                   |      | Version and Platform Compatibility / Previous PostgreSQL Versions | Enable input of NULL elements in arrays.                                                                                                | When turned on, unquoted NULL in an array input value means a null value; otherwise it is taken literally.                                                                                                                                                                                                                                                                                                                                                                  | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 authentication_timeout                 | 60                                   | s    | Connections and Authentication / Authentication                   | Sets the maximum allowed time to complete client authentication.                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 1           | 600          |                                                                                | 60                             | 60                                   |                                      |            | f
 autovacuum                             | on                                   |      | Autovacuum                                                        | Starts the autovacuum subprocess.                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 autovacuum_analyze_scale_factor        | 0.1                                  |      | Autovacuum                                                        | Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples.                                               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | real    | default              | 0           | 100          |                                                                                | 0.1                            | 0.1                                  |                                      |            | f
 autovacuum_analyze_threshold           | 50                                   |      | Autovacuum                                                        | Minimum number of tuple inserts, updates, or deletes prior to analyze.                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 2147483647   |                                                                                | 50                             | 50                                   |                                      |            | f
 autovacuum_freeze_max_age              | 200000000                            |      | Autovacuum                                                        | Age at which to autovacuum a table to prevent transaction ID wraparound.                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 100000      | 2000000000   |                                                                                | 200000000                      | 200000000                            |                                      |            | f
 autovacuum_max_workers                 | 3                                    |      | Autovacuum                                                        | Sets the maximum number of simultaneously running autovacuum worker processes.                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 1           | 262143       |                                                                                | 3                              | 3                                    |                                      |            | f
 autovacuum_multixact_freeze_max_age    | 400000000                            |      | Autovacuum                                                        | Multixact age at which to autovacuum a table to prevent multixact wraparound.                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 10000       | 2000000000   |                                                                                | 400000000                      | 400000000                            |                                      |            | f
 autovacuum_naptime                     | 60                                   | s    | Autovacuum                                                        | Time to sleep between autovacuum runs.                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 1           | 2147483      |                                                                                | 60                             | 60                                   |                                      |            | f
 autovacuum_vacuum_cost_delay           | 2                                    | ms   | Autovacuum                                                        | Vacuum cost delay in milliseconds, for autovacuum.                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | real    | default              | -1          | 100          |                                                                                | 2                              | 2                                    |                                      |            | f
 autovacuum_vacuum_cost_limit           | 500                                  |      | Autovacuum                                                        | Vacuum cost amount available before napping, for autovacuum.                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | configuration file   | -1          | 10000        |                                                                                | -1                             | 500                                  | /mnt/raid/bench-data/postgresql.conf |        650 | f
 autovacuum_vacuum_insert_scale_factor  | 0.2                                  |      | Autovacuum                                                        | Number of tuple inserts prior to vacuum as a fraction of reltuples.                                                                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | real    | default              | 0           | 100          |                                                                                | 0.2                            | 0.2                                  |                                      |            | f
 autovacuum_vacuum_insert_threshold     | 1000                                 |      | Autovacuum                                                        | Minimum number of tuple inserts prior to vacuum, or -1 to disable insert vacuums.                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | -1          | 2147483647   |                                                                                | 1000                           | 1000                                 |                                      |            | f
 autovacuum_vacuum_scale_factor         | 0.05                                 |      | Autovacuum                                                        | Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | real    | configuration file   | 0           | 100          |                                                                                | 0.2                            | 0.05                                 | /mnt/raid/bench-data/postgresql.conf |        638 | f
 autovacuum_vacuum_threshold            | 50                                   |      | Autovacuum                                                        | Minimum number of tuple updates or deletes prior to vacuum.                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 2147483647   |                                                                                | 50                             | 50                                   |                                      |            | f
 autovacuum_work_mem                    | -1                                   | kB   | Resource Usage / Memory                                           | Sets the maximum memory to be used by each autovacuum worker process.                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | -1          | 2147483647   |                                                                                | -1                             | -1                                   |                                      |            | f
 backend_flush_after                    | 0                                    | 1kB  | Resource Usage / Asynchronous Behavior                            | Number of pages after which previously performed writes are flushed to disk.                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | integer | default              | 0           | 256          |                                                                                | 0                              | 0                                    |                                      |            | f
 backslash_quote                        | safe_encoding                        |      | Version and Platform Compatibility / Previous PostgreSQL Versions | Sets whether "\'" is allowed in string literals.                                                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | enum    | default              |             |              | {safe_encoding,on,off}                                                         | safe_encoding                  | safe_encoding                        |                                      |            | f
 backtrace_functions                    |                                      |      | Developer Options                                                 | Log backtrace for errors in these functions.                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | superuser         | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 bgwriter_delay                         | 200                                  | ms   | Resource Usage / Background Writer                                | Background writer sleep time between rounds.                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 10          | 10000        |                                                                                | 200                            | 200                                  |                                      |            | f
 bgwriter_flush_after                   | 64                                   | 1kB  | Resource Usage / Background Writer                                | Number of pages after which previously performed writes are flushed to disk.                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 256          |                                                                                | 64                             | 64                                   |                                      |            | f
 bgwriter_lru_maxpages                  | 100                                  |      | Resource Usage / Background Writer                                | Background writer maximum number of LRU pages to flush per round.                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 1073741823   |                                                                                | 100                            | 100                                  |                                      |            | f
 bgwriter_lru_multiplier                | 2                                    |      | Resource Usage / Background Writer                                | Multiple of the average buffer usage to free per round.                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | real    | default              | 0           | 10           |                                                                                | 2                              | 2                                    |                                      |            | f
 block_size                             | 1024                                 |      | Preset Options                                                    | Shows the size of a disk block.                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | internal          | integer | default              | 1024        | 1024         |                                                                                | 1024                           | 1024                                 |                                      |            | f
 bonjour                                | off                                  |      | Connections and Authentication / Connection Settings              | Enables advertising the server via Bonjour.                                                                                             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 bonjour_name                           |                                      |      | Connections and Authentication / Connection Settings              | Sets the Bonjour service name.                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 bytea_output                           | hex                                  |      | Client Connection Defaults / Statement Behavior                   | Sets the output format for bytea.                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | enum    | default              |             |              | {escape,hex}                                                                   | hex                            | hex                                  |                                      |            | f
 check_function_bodies                  | on                                   |      | Client Connection Defaults / Statement Behavior                   | Check routine bodies during CREATE FUNCTION and CREATE PROCEDURE.                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 checkpoint_completion_target           | 0.9                                  |      | Write-Ahead Log / Checkpoints                                     | Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | real    | default              | 0           | 1            |                                                                                | 0.9                            | 0.9                                  |                                      |            | f
 checkpoint_flush_after                 | 32                                   | 1kB  | Write-Ahead Log / Checkpoints                                     | Number of pages after which previously performed writes are flushed to disk.                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | default              | 0           | 256          |                                                                                | 32                             | 32                                   |                                      |            | f
 checkpoint_timeout                     | 600                                  | s    | Write-Ahead Log / Checkpoints                                     | Sets the maximum time between automatic WAL checkpoints.                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | integer | configuration file   | 30          | 86400        |                                                                                | 300                            | 600                                  | /mnt/raid/bench-data/postgresql.conf |        237 | f
